01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.0.numG1000.species_tree.log:ASTRAL finished in 1316.814 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.0.numG200.species_tree.log:ASTRAL finished in 94.463 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.0.numG500.species_tree.log:ASTRAL finished in 371.779 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.0.numG50.species_tree.log:ASTRAL finished in 15.769 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.10.numG1000.species_tree.log:ASTRAL finished in 1687.06 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.10.numG200.species_tree.log:ASTRAL finished in 92.574 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.10.numG500.species_tree.log:ASTRAL finished in 566.373 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.10.numG50.species_tree.log:ASTRAL finished in 15.008 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.20.numG1000.species_tree.log:ASTRAL finished in 742.492 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.20.numG200.species_tree.log:ASTRAL finished in 73.864 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.20.numG500.species_tree.log:ASTRAL finished in 394.45 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.20.numG50.species_tree.log:ASTRAL finished in 9.93 secs
01/bestMLestimatedgenetree/astral.5.2.5.estimatedgenetre_1600.gtr.rerooted.final.contracted.33.numG1000.species_tree.log:ASTRAL finished in 881.946 secs
